Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2015-16,GSW,73,82,73,9,.890,242.4,42.5,87.3,29.4,55.7,13.1,31.6,16.7,21.8,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,38.9,89.4,31.1,65.9,7.8,23.5,18.6,24.5,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1
2,2016-17,GSW,67,82,67,15,.817,241.2,43.1,87.1,31.1,55.8,12.0,31.2,17.8,22.6,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,38.8,89.2,29.8,61.4,9.0,27.8,17.7,23.2,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
3,2015-16,SAS,67,82,67,15,.817,240.3,40.1,82.9,33.2,64.4,7.0,18.5,16.4,20.4,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5,35.7,81.8,29.1,61.9,6.6,19.9,14.9,19.6,9.1,31.4,40.5,20.8,7.2,3.9,14.8,19.5,92.9
4,2014-15,GSW,67,82,67,15,.817,240.6,41.6,87.0,30.8,60.0,10.8,27.0,16.0,20.8,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0,37.0,86.4,29.7,65.0,7.2,21.4,18.7,24.5,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9
5,2012-13,MIA,66,82,66,16,.805,242.4,38.4,77.4,29.6,55.4,8.7,22.1,17.4,23.0,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,35.6,80.9,28.0,59.1,7.6,21.7,16.2,21.2,11.2,28.9,40.1,20.2,7.9,3.2,15.6,20.4,95.0
6,2017-18,HOU,65,82,65,17,.793,240.9,38.7,84.2,23.4,41.9,15.3,42.3,19.6,25.1,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,39.6,85.6,29.5,56.7,10.1,28.8,14.6,19.6,8.7,33.4,42.0,22.4,7.4,4.4,14.6,20.4,103.9
7,2021-22,PHO,64,82,64,18,.780,240.6,43.7,90.1,32.1,58.2,11.6,31.9,15.9,19.9,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,39.2,88.3,27.6,54.1,11.6,34.2,17.3,22.7,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3
8,2013-14,SAS,62,82,62,20,.756,240.9,40.6,83.5,32.0,62.0,8.5,21.4,15.7,20.0,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,37.8,85.1,31.3,66.8,6.5,18.3,15.7,20.6,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
9,2010-11,CHI,62,82,62,20,.756,241.8,37.1,80.3,30.9,63.1,6.2,17.3,18.2,24.5,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,98.6,34.2,79.5,29.0,63.6,5.2,16.0,17.7,23.1,10.1,28.3,38.4,19.0,6.9,5.8,14.1,20.1,91.3
10,2016-17,SAS,61,82,61,21,.744,241.5,39.3,83.7,30.1,60.2,9.2,23.5,17.6,22.0,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3,37.0,83.4,28.8,59.7,8.1,23.7,16.0,20.8,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
11,2010-11,SAS,61,82,61,21,.744,241.2,38.4,80.8,30.0,59.8,8.4,21.1,18.5,24.2,10.1,31.7,41.9,22.4,7.3,4.5,13.4,19.0,103.7,38.1,83.7,32.3,67.7,5.8,15.9,15.9,20.7,10.8,30.4,41.2,20.5,6.9,4.6,13.4,20.7,98.0
