Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
1,2015-16,GSW,73,82,73,9,.890,10.76,-0.38,10.38,99.3,114.5,103.8,.563,.593,13.5,23.5,.250,.479,.520,12.6,24.0,.275
2,2016-17,GSW,67,82,67,15,.817,11.63,-0.28,11.35,99.8,115.6,104.0,.563,.597,13.2,22.8,.259,.486,.525,13.5,25.1,.261
3,2015-16,SAS,67,82,67,15,.817,10.63,-0.36,10.28,93.8,110.3,99.0,.526,.564,12.4,23.0,.246,.477,.513,14.1,20.9,.240
4,2014-15,GSW,67,82,67,15,.817,10.10,-0.09,10.01,98.3,111.6,101.4,.540,.571,13.1,24.1,.239,.470,.514,14.3,25.5,.284
5,2012-13,MIA,66,82,66,16,.805,7.87,-0.84,7.03,90.7,112.3,103.7,.552,.588,13.7,22.2,.297,.487,.527,14.8,27.0,.262
6,2017-18,HOU,65,82,65,17,.793,8.48,-0.27,8.21,97.6,114.7,106.1,.551,.590,12.7,21.3,.298,.521,.551,13.4,20.1,.229
7,2021-22,PHO,64,82,64,18,.780,7.50,-0.56,6.94,99.8,114.8,107.3,.549,.581,11.6,22.3,.221,.510,.546,13.0,22.9,.257
8,2013-14,SAS,62,82,62,20,.756,7.72,0.28,8.00,95.0,110.5,102.4,.537,.571,13.5,22.7,.240,.482,.519,12.8,23.6,.242
9,2010-11,CHI,62,82,62,20,.756,7.32,-0.79,6.53,90.4,108.3,100.3,.501,.541,13.5,29.4,.305,.463,.509,13.6,23.8,.291
10,2016-17,SAS,61,82,61,21,.744,7.20,-0.06,7.13,94.2,111.1,103.5,.524,.564,12.6,24.0,.263,.492,.530,13.5,22.4,.249
11,2010-11,SAS,61,82,61,21,.744,5.71,0.16,5.86,92.3,111.8,105.6,.527,.567,12.8,24.9,.299,.491,.528,12.6,25.4,.248
12,2018-19,MIL,60,82,60,22,.732,8.87,-0.82,8.04,103.3,113.8,105.2,.550,.583,12.0,20.8,.255,.503,.532,11.5,19.7,.221
13,2014-15,ATL,60,82,60,22,.732,5.43,-0.68,4.75,93.9,108.9,103.1,.527,.563,13.5,21.4,.259,.492,.528,14.9,26.6,.242
14,2012-13,OKC,60,82,60,22,.732,9.21,-0.06,9.15,93.3,112.4,102.6,.527,.580,14.4,26.7,.338,.469,.510,13.5,26.6,.254
15,2017-18,TOR,59,82,59,23,.720,7.78,-0.49,7.29,97.4,113.8,105.9,.539,.575,12.1,23.0,.250,.501,.541,13.0,22.3,.277
16,2013-14,OKC,59,82,59,23,.720,6.34,0.32,6.66,95.4,110.5,103.9,.520,.566,14.0,26.5,.303,.488,.528,13.9,24.4,.304
