Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
1,DAL,2021-12-01,.795,@,NOP,W 139-107,152.3,.108,.410,.799,.795,.084,117.2,.180,.416,.557,.522,.157
2,MIN,2022-12-18,.787,,CHI,W 150-126,147.9,.184,.494,.798,.787,.149,124.2,.273,.432,.639,.614,.205
3,MIN,2022-10-26,.775,,SAS,W 134-122,131.1,.200,.425,.770,.775,.125,119.3,.232,.379,.583,.537,.211
4,BRK,2022-12-21,.768,,GSW,W 143-113,139.8,.190,.393,.785,.768,.167,110.5,.301,.398,.601,.566,.229
5,LAC,2023-03-29,.756,@,MEM,W 141-132,137.1,.397,.474,.769,.756,.295,128.3,.295,.337,.615,.574,.242
6,DEN,2022-01-13,.753,,POR,W 140-108,140.7,.241,.506,.763,.753,.181,108.5,.326,.465,.549,.529,.198
7,CHO,2023-02-13,.750,,ATL,W 144-138,133.6,.274,.440,.765,.750,.214,128.0,.194,.259,.589,.542,.194
8,MEM,2023-03-24,.747,,HOU,W 151-114,149.2,.151,.452,.761,.747,.129,112.6,.241,.264,.592,.580,.149
9,CHI,2022-12-10,.747,,DAL,W 144-115,145.3,.282,.400,.753,.747,.200,116.0,.289,.489,.567,.517,.244
10,GSW,2023-04-09,.745,@,POR,W 157-101,143.9,.167,.510,.762,.745,.146,92.6,.253,.368,.478,.447,.168
11,BRK,2021-10-31,.743,,DET,W 117-91,123.0,.222,.347,.740,.743,.139,95.6,.278,.418,.513,.481,.190
12,BOS,2022-04-03,.742,,WAS,W 144-102,152.7,.143,.484,.744,.742,.099,108.2,.244,.256,.562,.512,.220
13,CHO,2022-01-05,.741,,DET,W 140-111,136.5,.358,.519,.747,.741,.247,108.2,.217,.457,.551,.543,.120
14,MIL,2021-11-26,.740,@,DEN,W 120-109,126.4,.274,.452,.733,.740,.164,114.8,.152,.511,.555,.527,.130
15,LAC,2021-11-03,.737,@,MIN,W 126-115,127.2,.154,.462,.756,.737,.141,116.1,.170,.426,.569,.532,.160
16,BRK,2023-01-25,.737,@,PHI,L 133-137,140.3,.355,.342,.757,.737,.276,144.6,.439,.463,.700,.622,.427
17,LAC,2023-02-24,.735,,SAC,L 175-176 (2OT),136.1,.367,.459,.769,.735,.316,136.9,.315,.369,.696,.667,.252
18,LAC,2022-04-01,.734,@,MIL,W 153-119,151.1,.261,.467,.746,.734,.196,117.5,.191,.266,.584,.574,.117
19,DEN,2022-01-30,.733,@,MIL,W 136-100,143.6,.114,.489,.736,.733,.080,105.6,.282,.385,.570,.538,.205
20,PHI,2022-04-02,.730,,CHO,W 144-114,137.2,.241,.494,.748,.730,.195,108.6,.276,.345,.584,.546,.218
21,MIN,2023-03-04,.725,@,SAC,W 138-134,142.3,.388,.488,.737,.725,.275,138.2,.337,.303,.656,.629,.247
22,CHO,2022-03-11,.724,@,NOP,W 142-120,140.7,.230,.540,.741,.724,.184,118.9,.291,.453,.619,.587,.221
23,MEM,2021-12-02,.724,,OKC,W 152-79,159.3,.188,.375,.731,.724,.135,82.8,.289,.500,.461,.401,.237
24,LAC,2023-01-20,.722,@,SAS,W 131-126,151.3,.247,.346,.729,.722,.173,145.6,.157,.292,.662,.652,.112
25,GSW,2022-04-10,.722,@,NOP,W 128-107,135.3,.160,.407,.738,.722,.136,113.1,.121,.404,.513,.495,.091
26,UTA,2021-12-03,.722,,BOS,W 137-130,137.7,.284,.630,.752,.722,.247,130.7,.242,.429,.646,.593,.242
27,SAC,2023-03-31,.722,@,POR,W 138-114,138.1,.170,.443,.729,.722,.125,114.1,.271,.447,.599,.582,.176
28,OKC,2022-11-13,.722,@,NYK,W 145-135,132.9,.227,.352,.749,.722,.205,123.7,.340,.320,.605,.546,.299
29,CLE,2022-12-19,.721,,UTA,W 122-99,124.2,.371,.371,.749,.721,.300,100.8,.247,.366,.480,.441,.183
30,PHI,2022-11-27,.721,@,ORL,W 133-103,138.9,.351,.351,.748,.721,.286,107.5,.316,.506,.572,.532,.241
31,BOS,2022-11-28,.720,,CHO,W 140-105,143.2,.075,.559,.729,.720,.065,107.4,.174,.337,.567,.552,.116
32,LAC,2023-01-24,.720,@,LAL,W 133-115,137.2,.179,.452,.734,.720,.143,118.6,.253,.421,.545,.526,.158
33,WAS,2023-02-11,.720,,IND,W 127-113,141.4,.293,.347,.750,.720,.253,125.8,.179,.421,.551,.526,.137
34,NYK,2023-03-01,.719,,BRK,W 142-118,135.5,.236,.393,.723,.719,.157,112.6,.222,.433,.597,.550,.211
35,BOS,2023-02-01,.717,,BRK,W 139-96,147.4,.109,.587,.721,.717,.076,101.8,.205,.443,.500,.460,.170
36,LAC,2023-03-27,.716,,CHI,W 124-112,129.3,.198,.494,.704,.716,.099,116.8,.256,.280,.614,.591,.183
37,POR,2022-12-14,.716,@,SAS,W 128-112,128.7,.210,.494,.723,.716,.148,112.6,.196,.299,.532,.521,.113
38,CHO,2022-04-08,.715,@,CHI,W 133-117,141.9,.116,.465,.736,.715,.116,124.9,.244,.293,.644,.616,.195
39,BOS,2022-02-15,.713,@,PHI,W 135-87,147.0,.268,.549,.736,.713,.220,94.8,.488,.400,.448,.338,.413
40,CHI,2022-02-11,.713,,MIN,W 134-122,132.8,.149,.356,.723,.713,.115,120.9,.167,.417,.592,.568,.135
41,GSW,2023-02-06,.711,,OKC,W 141-114,137.2,.072,.515,.704,.711,.031,110.9,.231,.352,.569,.544,.165
42,UTA,2021-12-08,.710,@,MIN,W 136-104,132.1,.170,.614,.719,.710,.125,101.0,.179,.495,.507,.489,.116
43,CHO,2022-01-26,.710,@,IND,W 158-126,147.7,.355,.484,.735,.710,.280,117.8,.370,.370,.589,.533,.304
44,CLE,2022-11-30,.709,,PHI,W 113-85,124.5,.135,.392,.721,.709,.108,93.6,.234,.338,.500,.455,.195
45,MIA,2022-04-05,.708,,CHO,W 144-115,145.7,.345,.500,.744,.708,.298,116.3,.212,.447,.619,.600,.153
46,BOS,2022-03-23,.708,,UTA,W 125-97,138.3,.083,.429,.718,.708,.071,107.3,.239,.409,.499,.443,.216
47,POR,2023-01-23,.707,,SAS,W 147-127,146.6,.239,.359,.723,.707,.185,126.7,.289,.300,.626,.594,.222
48,DET,2023-01-11,.706,,MIN,W 135-118,135.4,.350,.400,.731,.706,.275,118.4,.239,.375,.607,.580,.182
49,MIN,2022-11-05,.706,,HOU,W 129-117,125.3,.250,.413,.726,.706,.200,113.6,.369,.452,.599,.571,.250
