Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
1,DAL,2021-12-01,.795,@,NOP,W 139-107,152.3,.108,.410,.799,.795,.084,117.2,.180,.416,.557,.522,.157
2,DEN,2022-01-13,.753,,POR,W 140-108,140.7,.241,.506,.763,.753,.181,108.5,.326,.465,.549,.529,.198
3,BRK,2021-10-31,.743,,DET,W 117-91,123.0,.222,.347,.740,.743,.139,95.6,.278,.418,.513,.481,.190
4,BOS,2022-04-03,.742,,WAS,W 144-102,152.7,.143,.484,.744,.742,.099,108.2,.244,.256,.562,.512,.220
5,CHO,2022-01-05,.741,,DET,W 140-111,136.5,.358,.519,.747,.741,.247,108.2,.217,.457,.551,.543,.120
6,MIL,2021-11-26,.740,@,DEN,W 120-109,126.4,.274,.452,.733,.740,.164,114.8,.152,.511,.555,.527,.130
7,LAC,2021-11-03,.737,@,MIN,W 126-115,127.2,.154,.462,.756,.737,.141,116.1,.170,.426,.569,.532,.160
8,LAC,2022-04-01,.734,@,MIL,W 153-119,151.1,.261,.467,.746,.734,.196,117.5,.191,.266,.584,.574,.117
9,DEN,2022-01-30,.733,@,MIL,W 136-100,143.6,.114,.489,.736,.733,.080,105.6,.282,.385,.570,.538,.205
10,PHI,2022-04-02,.730,,CHO,W 144-114,137.2,.241,.494,.748,.730,.195,108.6,.276,.345,.584,.546,.218
11,CHO,2022-03-11,.724,@,NOP,W 142-120,140.7,.230,.540,.741,.724,.184,118.9,.291,.453,.619,.587,.221
12,MEM,2021-12-02,.724,,OKC,W 152-79,159.3,.188,.375,.731,.724,.135,82.8,.289,.500,.461,.401,.237
13,GSW,2022-04-10,.722,@,NOP,W 128-107,135.3,.160,.407,.738,.722,.136,113.1,.121,.404,.513,.495,.091
14,UTA,2021-12-03,.722,,BOS,W 137-130,137.7,.284,.630,.752,.722,.247,130.7,.242,.429,.646,.593,.242
15,CHO,2022-04-08,.715,@,CHI,W 133-117,141.9,.116,.465,.736,.715,.116,124.9,.244,.293,.644,.616,.195
16,BOS,2022-02-15,.713,@,PHI,W 135-87,147.0,.268,.549,.736,.713,.220,94.8,.488,.400,.448,.338,.413
17,CHI,2022-02-11,.713,,MIN,W 134-122,132.8,.149,.356,.723,.713,.115,120.9,.167,.417,.592,.568,.135
18,UTA,2021-12-08,.710,@,MIN,W 136-104,132.1,.170,.614,.719,.710,.125,101.0,.179,.495,.507,.489,.116
19,CHO,2022-01-26,.710,@,IND,W 158-126,147.7,.355,.484,.735,.710,.280,117.8,.370,.370,.589,.533,.304
20,MIA,2022-04-05,.708,,CHO,W 144-115,145.7,.345,.500,.744,.708,.298,116.3,.212,.447,.619,.600,.153
21,BOS,2022-03-23,.708,,UTA,W 125-97,138.3,.083,.429,.718,.708,.071,107.3,.239,.409,.499,.443,.216
22,DEN,2021-11-29,.703,@,MIA,W 120-111,132.2,.284,.473,.721,.703,.216,122.3,.165,.484,.569,.555,.110
23,DEN,2022-03-30,.700,@,IND,W 125-118,131.6,.175,.350,.725,.700,.163,124.2,.237,.412,.551,.515,.186
24,CHO,2021-12-15,.698,@,SAS,W 131-115,137.9,.186,.395,.704,.698,.128,121.0,.278,.411,.569,.500,.278
25,TOR,2022-03-26,.696,,IND,W 131-91,147.2,.226,.381,.709,.696,.167,102.3,.253,.456,.518,.487,.177
26,BOS,2022-03-18,.695,@,SAC,W 126-97,131.9,.207,.488,.704,.695,.146,101.5,.304,.456,.542,.500,.228
27,BRK,2022-03-15,.693,@,ORL,W 150-108,142.8,.386,.307,.728,.693,.318,102.8,.284,.432,.505,.458,.221
28,MIN,2022-04-03,.692,@,HOU,W 139-132,129.7,.291,.477,.716,.692,.233,123.2,.341,.471,.675,.659,.235
29,BRK,2022-04-10,.691,,IND,W 134-126,129.0,.309,.272,.728,.691,.272,121.3,.183,.442,.561,.543,.125
30,BOS,2022-03-20,.689,@,DEN,W 124-104,137.8,.134,.488,.714,.689,.134,115.6,.287,.448,.531,.483,.230
31,MEM,2022-04-09,.689,,NOP,W 141-114,133.2,.256,.389,.704,.689,.189,107.7,.385,.330,.536,.484,.286
32,NOP,2022-02-14,.688,,TOR,W 120-90,130.8,.208,.455,.714,.688,.182,98.1,.326,.358,.414,.347,.253
33,UTA,2021-11-27,.688,,NOP,W 127-105,128.4,.275,.438,.708,.688,.213,106.2,.226,.376,.513,.473,.183
34,CHO,2021-11-26,.688,,MIN,W 133-115,130.6,.170,.455,.703,.688,.136,112.9,.190,.350,.531,.505,.140
35,DEN,2022-03-24,.685,,PHO,L 130-140,131.8,.333,.395,.700,.685,.235,141.9,.337,.314,.709,.680,.267
