,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,Home/Away,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
0,SAC,176.0,65.0,111.0,70.0,18.0,41.0,0.667,Away,136.9,0.315,0.369,0.696,0.252,136.1,0.367,0.459,0.769,0.735,0.316
1,LAC,175.0,59.0,98.0,53.0,26.0,45.0,0.735,Home,136.1,0.367,0.459,0.769,0.316,136.9,0.315,0.369,0.696,0.667,0.252
2,CHO,158.0,54.0,93.0,48.0,24.0,45.0,0.71,Away,147.7,0.355,0.484,0.735,0.28,117.8,0.37,0.37,0.589,0.533,0.304
3,GSW,157.0,58.0,96.0,47.0,27.0,49.0,0.745,Away,143.9,0.167,0.51,0.762,0.146,92.6,0.253,0.368,0.478,0.447,0.168
4,SAS,157.0,57.0,105.0,76.0,9.0,29.0,0.586,Away,130.7,0.41,0.276,0.633,0.324,127.3,0.222,0.352,0.645,0.62,0.176
5,OKC,153.0,56.0,97.0,51.0,21.0,46.0,0.686,Home,147.6,0.237,0.474,0.714,0.206,116.7,0.303,0.337,0.6,0.562,0.236
6,SAC,153.0,56.0,94.0,53.0,20.0,41.0,0.702,Home,140.9,0.266,0.436,0.729,0.223,111.4,0.407,0.346,0.633,0.562,0.37
7,LAC,153.0,56.0,92.0,49.0,23.0,43.0,0.734,Away,151.1,0.261,0.467,0.746,0.196,117.5,0.191,0.266,0.584,0.574,0.117
8,WAS,153.0,59.0,108.0,70.0,16.0,38.0,0.62,Home,127.3,0.222,0.352,0.645,0.176,130.7,0.41,0.276,0.633,0.586,0.324
9,MEM,152.0,60.0,96.0,60.0,19.0,36.0,0.724,Home,159.3,0.188,0.375,0.731,0.135,82.8,0.289,0.5,0.461,0.401,0.237
10,MIN,151.0,56.0,101.0,58.0,24.0,43.0,0.673,Away,142.8,0.208,0.426,0.685,0.149,123.9,0.253,0.305,0.621,0.595,0.189
11,MEM,151.0,57.0,93.0,51.0,25.0,42.0,0.747,Home,149.2,0.151,0.452,0.761,0.129,112.6,0.241,0.264,0.592,0.58,0.149
12,MIL,150.0,55.0,98.0,46.0,23.0,52.0,0.679,Away,134.0,0.245,0.531,0.691,0.173,116.1,0.46,0.368,0.621,0.569,0.356
13,OKC,150.0,58.0,98.0,58.0,20.0,40.0,0.694,Home,140.0,0.224,0.408,0.697,0.143,109.2,0.352,0.455,0.576,0.523,0.284
14,MIN,150.0,57.0,87.0,44.0,23.0,43.0,0.787,Home,147.9,0.184,0.494,0.798,0.149,124.2,0.273,0.432,0.639,0.614,0.205
15,BRK,150.0,53.0,88.0,61.0,16.0,27.0,0.693,Away,142.8,0.386,0.307,0.728,0.318,102.8,0.284,0.432,0.505,0.458,0.221
16,MIL,149.0,58.0,93.0,68.0,10.0,25.0,0.677,Away,139.1,0.323,0.269,0.702,0.247,127.0,0.218,0.297,0.614,0.594,0.158
17,MIN,149.0,52.0,90.0,57.0,17.0,33.0,0.672,Away,134.5,0.356,0.367,0.716,0.311,125.5,0.268,0.361,0.641,0.603,0.227
18,PHI,147.0,48.0,82.0,48.0,16.0,34.0,0.683,Away,141.3,0.463,0.415,0.745,0.427,137.5,0.344,0.411,0.69,0.672,0.244
19,POR,147.0,55.0,92.0,59.0,20.0,33.0,0.707,Home,146.6,0.239,0.359,0.723,0.185,126.7,0.289,0.3,0.626,0.594,0.222
20,PHI,147.0,54.0,89.0,58.0,11.0,31.0,0.669,Home,134.5,0.337,0.348,0.719,0.315,106.2,0.404,0.438,0.553,0.483,0.337
21,DEN,146.0,58.0,93.0,66.0,13.0,27.0,0.694,Home,139.6,0.237,0.29,0.711,0.183,107.1,0.306,0.412,0.581,0.529,0.259
22,LAL,146.0,44.0,94.0,51.0,16.0,43.0,0.553,Away,128.7,0.5,0.457,0.637,0.447,124.3,0.36,0.47,0.609,0.565,0.28
23,HOU,146.0,51.0,95.0,46.0,23.0,49.0,0.658,Home,137.7,0.326,0.516,0.672,0.221,134.8,0.291,0.485,0.615,0.563,0.262
24,CLE,145.0,48.0,92.0,46.0,16.0,46.0,0.609,Home,134.6,0.489,0.5,0.648,0.359,124.4,0.358,0.347,0.609,0.547,0.316
