,Team,Date,PTS,Opp,FG,FGA,2PA,3P,3PA,Opponent_Points
0,SAC,2023-02-24,176,LAC,65,111,70,18,41,175
1,LAC,2023-02-24,175,SAC,59,98,53,26,45,176
2,CHO,2022-01-26,158,IND,54,93,48,24,45,126
3,GSW,2023-04-09,157,POR,58,96,47,27,49,101
4,SAS,2022-02-25,157,WAS,57,105,76,9,29,153
5,OKC,2023-02-04,153,HOU,56,97,51,21,46,121
6,SAC,2022-11-15,153,BRK,56,94,53,20,41,121
7,LAC,2022-04-01,153,MIL,56,92,49,23,43,119
8,WAS,2022-02-25,153,SAS,59,108,70,16,38,157
9,MEM,2021-12-02,152,OKC,60,96,60,19,36,79
10,MIN,2023-04-08,151,SAS,56,101,58,24,43,131
11,MEM,2023-03-24,151,HOU,57,93,51,25,42,114
12,MIL,2023-01-23,150,DET,55,98,46,23,52,130
13,OKC,2023-01-03,150,BOS,58,98,58,20,40,117
14,MIN,2022-12-18,150,CHI,57,87,44,23,43,126
15,BRK,2022-03-15,150,ORL,53,88,61,16,27,108
16,MIL,2023-03-29,149,IND,58,93,68,10,25,136
17,MIN,2022-03-14,149,SAS,52,90,57,17,33,139
18,PHI,2023-03-06,147,IND,48,82,48,16,34,143
19,POR,2023-01-23,147,SAS,55,92,59,20,33,127
20,PHI,2023-01-10,147,DET,54,89,58,11,31,116
21,DEN,2023-02-07,146,MIN,58,93,66,13,27,112
22,LAL,2022-04-10,146,DEN,44,94,51,16,43,141
23,HOU,2021-11-27,146,CHO,51,95,46,23,49,143
24,CLE,2023-01-02,145,CHI,48,92,46,16,46,134
25,OKC,2022-11-13,145,NYK,55,88,57,17,31,135
26,BOS,2021-12-04,145,POR,49,87,50,21,37,117
27,MIL,2023-03-24,144,UTA,55,99,49,22,50,116
28,CHO,2023-02-13,144,ATL,53,84,47,20,37,138
29,GSW,2023-01-13,144,SAS,55,101,53,18,48,113
30,CHI,2022-12-10,144,DAL,54,85,51,19,34,115
31,MIA,2022-04-05,144,CHO,48,84,42,23,42,115
32,BOS,2022-04-03,144,WAS,56,91,47,23,44,102
33,PHI,2022-04-02,144,CHO,53,87,44,21,43,114
34,SAS,2021-12-26,144,DET,51,91,64,13,27,109
35,CLE,2021-12-26,144,TOR,56,106,54,22,52,99
36,ATL,2023-03-25,143,IND,53,96,66,15,30,130
37,IND,2023-03-06,143,PHI,53,90,53,15,37,147
38,MIN,2023-02-08,143,UTA,56,98,55,23,43,118
39,GSW,2023-01-02,143,ATL,54,121,62,19,59,141
40,BRK,2022-12-21,143,GSW,54,84,51,21,33,113
41,LAL,2022-11-26,143,SAS,47,81,48,17,33,138
42,TOR,2022-11-02,143,SAS,57,106,73,14,33,100
43,CHO,2021-11-27,143,HOU,48,103,53,20,50,146
44,SAS,2023-04-02,142,SAC,52,98,64,13,34,134
45,HOU,2023-03-05,142,SAS,52,85,61,13,24,110
46,NYK,2023-03-01,142,BRK,54,89,54,20,35,118
47,DAL,2023-02-23,142,SAS,46,82,40,22,42,116
48,BOS,2023-02-23,142,IND,51,99,60,18,39,138
49,LAC,2022-12-26,142,DET,49,91,47,19,44,131
50,MEM,2022-12-15,142,MIL,56,102,70,12,32,101
51,WAS,2022-11-28,142,MIN,52,91,60,15,31,127
52,CHO,2022-03-11,142,NOP,52,87,40,22,47,120
53,MIL,2022-03-08,142,OKC,53,100,60,20,40,115
54,LAC,2022-02-17,142,HOU,51,92,57,18,35,111
55,SAC,2021-12-08,142,ORL,53,97,63,15,34,130
56,IND,2023-04-09,141,NYK,46,89,55,19,34,136
