Team,FG,FGA,2PA,3P,3PA,DRB,PTS,Pace,ORtg,eFG%,TS%,TOV%
GSW,42.5,87.3,55.7,13.1,31.6,36.2,114.9,99.3,114.5,0.563,0.593,13.5
GSW,43.1,87.1,55.8,12.0,31.2,35.0,115.9,99.8,115.6,0.563,0.597,13.2
SAS,40.1,82.9,64.4,7.0,18.5,34.5,103.5,93.8,110.3,0.526,0.564,12.4
GSW,41.6,87.0,60.0,10.8,27.0,34.3,110.0,98.3,111.6,0.54,0.571,13.1
MIA,38.4,77.4,55.4,8.7,22.1,30.4,102.9,90.7,112.3,0.552,0.588,13.7
HOU,38.7,84.2,41.9,15.3,42.3,34.5,112.4,97.6,114.7,0.551,0.59,12.7
PHO,43.7,90.1,58.2,11.6,31.9,35.5,114.8,99.8,114.8,0.549,0.581,11.6
SAS,40.6,83.5,62.0,8.5,21.4,34.0,105.4,95.0,110.5,0.537,0.571,13.5
CHI,37.1,80.3,63.1,6.2,17.3,32.4,98.6,90.4,108.3,0.501,0.541,13.5
SAS,39.3,83.7,60.2,9.2,23.5,33.9,105.3,94.2,111.1,0.524,0.564,12.6
SAS,38.4,80.8,59.8,8.4,21.1,31.7,103.7,92.3,111.8,0.527,0.567,12.8
MIL,43.4,91.1,52.9,13.5,38.2,40.4,118.1,103.3,113.8,0.55,0.583,12.0
ATL,38.1,81.7,55.5,10.0,26.2,31.8,102.5,93.9,108.9,0.527,0.563,13.5
OKC,38.1,79.3,60.0,7.3,19.4,33.2,105.7,93.3,112.4,0.527,0.58,14.4
TOR,41.3,87.4,54.4,11.8,33.0,34.2,111.7,97.4,113.8,0.539,0.575,12.1
OKC,39.0,82.7,60.3,8.1,22.4,33.9,106.2,95.4,110.5,0.52,0.566,14.0
MIL,42.7,90.4,50.1,14.8,40.3,37.5,116.9,100.5,115.4,0.555,0.583,12.7
TOR,42.2,89.1,55.3,12.4,33.8,35.6,114.4,100.2,113.1,0.543,0.579,12.4
GSW,42.8,85.1,56.2,11.3,28.9,35.1,113.5,99.6,113.6,0.569,0.603,14.1
SAS,39.1,81.4,59.9,8.1,21.5,33.2,103.0,94.2,108.3,0.531,0.568,14.0
MIA,37.0,76.8,58.8,6.7,18.0,32.5,102.1,90.9,111.7,0.524,0.573,13.5
BOS,42.2,88.8,46.2,16.0,42.6,35.6,117.9,98.5,118.0,0.566,0.6,12.0
GSW,44.0,89.8,55.3,13.3,34.4,36.5,117.7,100.9,115.9,0.565,0.596,12.6
CLE,38.7,84.0,54.4,10.7,29.6,33.9,104.3,93.3,110.9,0.524,0.558,12.7
LAC,39.1,82.5,58.5,8.5,24.0,32.5,107.9,95.9,112.1,0.526,0.567,12.7
DEN,40.7,85.2,66.6,6.4,18.5,31.7,106.1,95.1,110.4,0.515,0.549,13.6
DAL,37.4,78.8,57.3,7.9,21.6,31.9,100.2,91.3,109.7,0.525,0.565,13.6
LAL,38.1,82.4,64.3,6.4,18.1,31.9,101.5,90.7,111.0,0.502,0.545,12.3
MEM,43.5,94.4,61.7,11.5,32.7,35.0,115.6,100.3,114.6,0.522,0.553,11.2
MIL,43.3,90.9,52.0,13.8,38.9,42.2,118.7,105.1,112.4,0.552,0.583,12.9
TOR,36.7,81.3,58.0,8.6,23.4,33.2,102.7,92.9,110.0,0.504,0.552,12.3
HOU,37.0,83.3,50.6,11.4,32.7,32.0,103.9,96.5,107.0,0.512,0.548,15.0
LAC,39.4,83.3,56.4,10.1,26.9,33.1,106.7,94.7,112.4,0.533,0.565,11.6
IND,36.0,80.2,61.4,6.7,18.8,34.5,96.7,92.5,104.1,0.49,0.535,14.3
LAC,38.5,80.6,59.2,7.6,21.4,30.2,101.1,91.1,110.6,0.526,0.557,13.9
MEM,36.1,81.5,68.0,4.7,13.5,29.8,93.4,88.4,104.9,0.472,0.514,13.3
BOS,36.9,75.8,62.2,5.0,13.6,31.0,96.5,90.4,106.2,0.519,0.561,14.5
BOS,38.3,85.1,54.7,11.5,30.4,35.1,104.0,96.0,107.6,0.518,0.552,13.0
HOU,40.3,87.2,46.9,14.4,40.3,33.5,115.3,100.0,114.7,0.545,0.583,13.3
OKC,41.1,86.4,62.6,8.3,23.7,35.6,110.2,96.7,113.1,0.524,0.565,14.0
MEM,37.8,82.5,67.3,5.2,15.2,32.1,98.3,92.0,105.7,0.489,0.531,12.6
SAS,39.1,83.6,61.1,8.3,22.5,33.8,103.2,93.8,108.5,0.517,0.555,13.1
OKC,37.4,80.6,63.5,5.9,17.1,31.8,104.8,92.7,111.2,0.501,0.561,13.1
PHI,40.8,83.8,51.2,12.6,32.6,32.2,115.2,96.9,117.7,0.563,0.608,12.6
DEN,41.9,90.0,58.7,11.0,31.4,34.5,110.7,97.7,113.0,0.527,0.558,11.9
HOU,38.0,80.5,54.0,9.5,26.6,34.1,107.7,96.3,111.0,0.531,0.571,14.6
MIA,38.3,76.5,54.2,8.1,22.3,29.2,102.2,91.2,110.9,0.554,0.59,14.6
POR,39.1,87.0,61.7,9.4,25.3,34.0,106.7,94.9,111.5,0.504,0.548,12.4
NYK,36.5,81.6,52.7,10.9,28.9,29.7,100.0,89.8,111.1,0.515,0.55,11.7
DEN,43.6,86.4,55.2,11.8,31.2,32.9,115.8,98.1,117.6,0.573,0.601,13.1
GSW,40.5,86.4,47.0,14.3,39.4,35.7,111.0,98.4,112.5,0.552,0.582,13.5
MIA,39.6,84.8,49.0,13.6,35.8,33.9,110.0,95.9,113.7,0.547,0.584,13.4
TOR,40.2,87.9,50.9,13.8,37.0,35.9,112.8,100.9,111.1,0.536,0.574,13.1
POR,42.3,90.6,59.8,11.0,30.7,36.2,114.7,99.1,114.7,0.528,0.568,12.1
HOU,39.2,87.4,42.0,16.1,45.4,31.9,113.9,97.9,115.5,0.542,0.581,12.0
BOS,38.6,85.1,51.7,12.0,33.4,32.9,108.0,96.8,111.2,0.525,0.567,12.2
LAC,38.3,82.4,55.7,9.7,26.7,33.3,104.5,95.8,108.3,0.524,0.556,12.1
CLE,37.7,82.2,54.7,10.1,27.5,31.9,103.1,92.3,111.1,0.52,0.557,13.4
DAL,39.3,85.1,47.8,13.1,37.4,33.8,108.0,95.4,112.8,0.538,0.572,11.7
UTA,41.3,88.1,45.1,16.7,43.0,37.6,116.4,98.5,117.6,0.563,0.597,12.7
LAL,42.3,88.3,56.7,11.0,31.6,35.1,113.4,100.9,112.0,0.542,0.573,13.3
PHI,40.8,86.6,56.7,11.0,29.8,36.5,109.8,99.8,109.5,0.535,0.568,14.6
ORL,36.0,78.2,52.5,9.4,25.6,32.7,99.2,91.2,107.9,0.521,0.554,14.3
CLE,41.6,85.2,53.6,11.6,31.6,31.4,112.3,95.7,116.1,0.556,0.59,12.3
MEM,43.7,92.1,57.9,12.0,34.2,34.6,116.9,101.1,115.1,0.54,0.57,11.7
BOS,40.7,87.4,50.3,13.2,37.1,35.5,111.8,96.6,114.4,0.542,0.578,12.4
PHI,39.4,84.5,52.7,11.6,31.8,33.8,109.9,96.2,113.5,0.534,0.578,11.6
MIL,41.8,89.4,51.0,14.1,38.4,36.5,115.5,99.9,115.1,0.546,0.58,11.9
PHO,43.3,88.3,53.7,13.1,34.6,34.2,115.3,97.2,117.2,0.564,0.597,11.5
PHI,41.5,88.2,58.0,10.8,30.2,36.9,115.2,101.6,112.6,0.532,0.574,12.9
UTA,37.0,79.5,53.5,9.6,26.0,33.8,100.7,91.6,109.6,0.526,0.563,13.2
TOR,39.2,84.4,60.0,8.8,24.3,32.6,106.9,94.7,112.3,0.517,0.561,11.8
CLE,39.9,84.9,51.0,13.0,33.9,34.4,110.3,96.2,113.6,0.547,0.58,12.6
LAC,39.5,83.2,55.8,10.3,27.4,34.0,108.7,96.1,112.7,0.537,0.574,12.0
POR,38.7,86.0,58.8,9.8,27.2,35.1,102.8,94.2,108.2,0.508,0.544,12.6
GSW,39.5,85.4,60.6,9.4,24.8,34.4,104.3,96.2,107.5,0.517,0.55,13.8
UTA,40.4,86.4,52.4,12.1,34.0,36.4,111.7,100.3,110.9,0.538,0.572,13.4
CLE,40.4,84.8,52.6,12.0,32.1,33.7,110.9,98.0,112.9,0.547,0.584,12.6
CHI,36.6,82.9,60.6,7.9,22.3,34.0,100.8,92.8,107.5,0.489,0.536,12.9
DAL,39.7,85.8,60.4,8.9,25.4,31.8,105.2,95.2,109.5,0.515,0.55,11.9
MEM,38.1,82.0,68.0,4.9,14.0,30.8,96.1,89.9,106.3,0.494,0.529,13.1
CHI,37.4,82.8,65.8,6.3,16.9,32.8,96.3,89.1,107.4,0.49,0.523,13.2
SAS,39.6,82.8,61.5,8.4,21.3,32.6,103.7,92.9,110.9,0.528,0.562,12.8
DEN,38.4,80.6,59.9,8.1,20.8,32.3,107.5,95.6,112.3,0.526,0.574,13.1
UTA,40.6,86.2,45.8,14.5,40.3,35.6,113.6,97.1,116.7,0.555,0.589,12.7
PHI,41.4,86.9,56.8,11.3,30.1,35.0,113.6,99.5,113.2,0.541,0.579,12.8
LAC,41.6,89.2,55.8,12.4,33.5,37.0,116.3,101.5,113.9,0.535,0.577,12.6
OKC,42.6,94.0,61.3,11.4,32.6,35.5,114.5,102.8,110.3,0.514,0.545,11.7
BOS,42.1,90.5,56.0,12.6,34.5,34.7,112.4,99.6,112.2,0.534,0.567,11.5
POR,39.3,87.0,58.8,10.3,28.1,35.3,105.6,96.5,109.1,0.511,0.549,12.3
WAS,41.3,87.0,62.3,9.2,24.8,32.6,109.2,97.4,111.2,0.528,0.564,12.8
TOR,37.9,83.3,58.2,8.9,25.1,30.8,104.0,92.8,111.0,0.508,0.553,12.0
DAL,39.6,83.6,60.7,8.8,22.9,30.7,104.8,93.5,111.2,0.526,0.564,12.7
IND,35.1,80.6,60.8,6.9,19.7,33.0,94.7,90.2,104.3,0.479,0.521,14.3
BRK,35.9,79.8,58.3,7.7,21.5,30.0,96.9,88.8,108.2,0.498,0.536,14.0
SAC,43.6,88.2,50.9,13.8,37.3,32.9,120.7,100.3,119.4,0.572,0.608,12.0
DEN,41.7,86.3,50.4,12.7,35.9,34.9,112.7,97.8,114.5,0.556,0.59,13.2
TOR,40.6,91.3,57.1,11.9,34.2,32.0,109.4,96.0,112.9,0.51,0.543,11.0
BRK,43.1,87.3,51.2,14.2,36.1,35.5,118.6,99.5,118.3,0.575,0.61,12.2
BOS,41.3,89.6,55.0,12.6,34.5,35.4,113.7,99.5,113.3,0.531,0.57,12.2
